##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	ege_1765750669_SRR24940081.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2268524
Total Bases	539.3 Mbp
Sequences flagged as poor quality	0
Sequence length	35-251
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	33.514984633179985	34.0	34.0	34.0	34.0	34.0
2	33.440032373472796	34.0	34.0	34.0	34.0	34.0
3	33.49680849750763	34.0	34.0	34.0	34.0	34.0
4	33.504761245638136	34.0	34.0	34.0	34.0	34.0
5	33.51194300787649	34.0	34.0	34.0	34.0	34.0
6	37.13344491836983	38.0	38.0	38.0	36.0	38.0
7	37.029253823190764	38.0	38.0	38.0	36.0	38.0
8	36.97145809345636	38.0	38.0	38.0	36.0	38.0
9	36.94879137271636	38.0	38.0	38.0	36.0	38.0
10-14	36.96706704447474	38.0	38.0	38.0	36.0	38.0
15-19	36.98003926782348	38.0	38.0	38.0	36.0	38.0
20-24	36.96478891120394	38.0	38.0	38.0	35.8	38.0
25-29	36.82141039724508	38.0	38.0	38.0	35.0	38.0
30-34	36.870966848929086	38.0	38.0	38.0	35.6	38.0
35-39	36.91329455106538	38.0	38.0	38.0	36.0	38.0
40-44	36.86679513410751	38.0	38.0	38.0	35.2	38.0
45-49	36.81778508249632	38.0	38.0	38.0	35.0	38.0
50-54	36.86299246118487	38.0	38.0	38.0	35.2	38.0
55-59	36.79920546698011	38.0	38.0	38.0	35.0	38.0
60-64	36.74898444732635	38.0	38.0	38.0	35.0	38.0
65-69	36.71925206828899	38.0	38.0	38.0	34.6	38.0
70-74	36.69203582531681	38.0	38.0	38.0	34.4	38.0
75-79	36.59720419006858	38.0	37.6	38.0	34.0	38.0
80-84	36.55341302579724	38.0	37.4	38.0	34.0	38.0
85-89	36.62437461012844	38.0	38.0	38.0	34.0	38.0
90-94	36.59221244510768	38.0	38.0	38.0	34.0	38.0
95-99	36.56984115486462	38.0	37.8	38.0	34.0	38.0
100-104	36.37985901365648	38.0	37.0	38.0	34.0	38.0
105-109	36.43940390612299	38.0	37.0	38.0	34.0	38.0
110-114	36.49479947948634	38.0	37.0	38.0	34.0	38.0
115-119	36.453905530386805	38.0	37.4	38.0	34.0	38.0
120-124	36.339275972610835	38.0	37.0	38.0	34.0	38.0
125-129	36.33460096138334	38.0	37.0	38.0	34.0	38.0
130-134	36.260931513616114	38.0	37.0	38.0	33.8	38.0
135-139	36.28733242099211	38.0	37.0	38.0	34.0	38.0
140-144	36.227504505103084	38.0	37.0	38.0	34.0	38.0
145-149	36.166880710832864	38.0	37.0	38.0	33.4	38.0
150-154	36.15267528421978	38.0	37.0	38.0	33.2	38.0
155-159	36.08023140879693	38.0	37.0	38.0	33.0	38.0
160-164	36.09295886529546	38.0	37.0	38.0	33.0	38.0
165-169	35.839540564023096	38.0	37.0	38.0	31.4	38.0
170-174	35.80587598683614	38.0	37.0	38.0	31.0	38.0
175-179	35.77025254133007	38.0	37.0	38.0	31.0	38.0
180-184	35.61754335794169	38.0	36.4	38.0	29.6	38.0
185-189	35.51194210234658	38.0	36.0	38.0	29.0	38.0
190-194	35.39621200528755	38.0	36.0	38.0	28.0	38.0
195-199	35.25527387315697	38.0	36.0	38.0	27.2	38.0
200-204	35.06840800499575	38.0	35.8	38.0	26.0	38.0
205-209	34.77986207437976	38.0	35.0	38.0	25.0	38.0
210-214	34.60694638605541	37.8	35.0	38.0	24.6	38.0
215-219	34.190656686866895	37.0	34.4	38.0	23.4	38.0
220-224	33.70355421214216	37.0	33.8	38.0	22.0	38.0
225-229	33.170135392036435	37.0	31.8	38.0	21.0	38.0
230-234	32.57511771396618	37.0	29.8	37.8	19.8	38.0
235-239	32.01994913200273	37.0	29.2	37.2	19.0	38.0
240-244	31.276901356675786	36.4	27.6	37.0	18.0	37.6
245-249	30.55423400602958	35.0	26.0	37.0	17.0	37.0
250-251	25.47045976260563	26.5	18.0	33.0	12.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1103	40-44	0.05632274887852162
1103	45-49	0.030187327688416588
1103	50-54	0.03988285110397527
1103	55-59	0.020105298618744882
1103	60-64	0.05178190085497647
1103	65-69	0.09885515965123659
1103	70-74	0.16333333516129045
1103	75-79	0.05718994360461238
1103	80-84	0.23142259454530745
1103	85-89	0.03930473661694123
1103	90-94	0.13585443799495778
1103	95-99	0.10077416094191705
1103	100-104	0.2870179087401752
1103	105-109	0.13227968479082364
1103	110-114	0.1696406319977939
1103	115-119	0.24077247833982085
1103	120-124	0.22729907489760137
1103	125-129	0.1319870391869813
1103	130-134	-5.61313801017711
1103	135-139	0.06015310395627438
1103	140-144	0.1500792870585883
1103	145-149	0.1334563279488279
1103	150-154	0.23251437128831043
1103	155-159	0.17900834038110247
1103	160-164	0.23610525900640056
1103	165-169	0.31507842090893234
1103	170-174	0.43764205246058197
1103	175-179	0.2607613956958872
1103	180-184	0.22711888821494597
1103	185-189	0.26954698255909904
1103	190-194	0.19538711023275113
1103	195-199	0.18807715954547888
1103	200-204	0.2865671735300097
1103	205-209	0.5573467020235796
1103	210-214	0.4538434666916302
1103	215-219	0.36239809382600185
1103	220-224	0.3666767072733741
1103	225-229	0.856907291586058
1103	230-234	0.46748314467455643
1103	235-239	0.5982144628334396
1103	240-244	0.7497559576536297
1103	245-249	0.02933649458354637
1103	250-251	0.3398607421507549
1104	1	0.03416481952039874
1104	2	-0.04098299689431428
1104	3	0.03976478636926828
1104	4	-0.006432479178577921
1104	5	-0.0827008620329508
1104	6	-0.05309495553989052
1104	7	0.032295442286539355
1104	8	0.1290878684347021
1104	9	0.26935307136950826
1104	10-14	0.1014562632826852
1104	15-19	0.1159056032411101
1104	20-24	0.11446665545978618
1104	25-29	0.1679006606894191
1104	30-34	0.11745987970414973
1104	35-39	0.1984514939696993
1104	40-44	0.21982373348282636
1104	45-49	0.11779060062438163
1104	50-54	0.06661358614157109
1104	55-59	0.1522149659421288
1104	60-64	0.16446938750057427
